DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2022,36773,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1975,20365,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1976,20700,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1977,20688,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1978,20662,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1979,20515,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1980,20652,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1981,21900,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1982,22261,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1983,23087,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1984,21625,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1985,23109,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1986,24236,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1987,23332,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1988,25143,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1989,25051,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1990,25356,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1991,25417,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1992,25073,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1993,25081,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1994,25138,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1995,25139,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1996,24793,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1997,24776,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1998,24717,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,1999,24849,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2000,25093,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2001,24002,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2002,23601,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2003,24273,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2004,25295,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2005,26253,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2006,27777,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2007,29165,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2008,31851,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2009,30879,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2010,31424,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2011,32259,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2012,33627,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2013,34516,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2014,35403,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2015,35135,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2016,35429,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2017,34498,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2018,33257,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2019,33539,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2020,32426,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2021,34039,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,5: Western Australia,A: Annual,2022,31460,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1975,7014,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1976,6736,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1977,6760,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1978,6836,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1979,6789,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1980,6776,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1981,7230,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1982,7039,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1983,7062,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1984,7132,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1985,7249,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1986,6950,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1987,6790,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1988,6779,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1989,6813,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1990,7043,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1991,6870,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1992,6987,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1993,6835,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1994,6844,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1995,6570,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1996,6457,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1997,6007,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1998,5978,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,1999,6032,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2000,5692,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2001,6430,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2002,6003,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2003,5752,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,6: Tasmania,A: Annual,2004,5809,NUM: Number,,
